,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
655,0 days 01:26:17.465000,OCO,31,0 days 00:01:22.880000,19.0,3.0,,,0 days 00:00:28.874000,0 days 00:00:17.974000,0 days 00:00:36.032000,0 days 01:25:23.421000,0 days 01:25:41.395000,0 days 01:26:17.427000,275.0,316.0,300.0,297.0,False,HARD,3.0,True,Alpine,0 days 01:24:54.585000,2024-03-24 04:29:37.783,1,17.0,False,,False,True
656,0 days 01:27:40.279000,OCO,31,0 days 00:01:22.814000,20.0,3.0,,,0 days 00:00:28.867000,0 days 00:00:18,0 days 00:00:35.947000,0 days 01:26:46.294000,0 days 01:27:04.294000,0 days 01:27:40.241000,276.0,316.0,300.0,310.0,False,HARD,4.0,True,Alpine,0 days 01:26:17.465000,2024-03-24 04:31:00.663,1,17.0,False,,False,True
657,0 days 01:29:02.942000,OCO,31,0 days 00:01:22.663000,21.0,3.0,,,0 days 00:00:28.765000,0 days 00:00:18.216000,0 days 00:00:35.682000,0 days 01:28:09.006000,0 days 01:28:27.222000,0 days 01:29:02.904000,,298.0,290.0,304.0,False,HARD,5.0,True,Alpine,0 days 01:27:40.279000,2024-03-24 04:32:23.477,1,17.0,False,,False,True
658,0 days 01:30:25.745000,OCO,31,0 days 00:01:22.803000,22.0,3.0,,,0 days 00:00:28.775000,0 days 00:00:18.267000,0 days 00:00:35.761000,0 days 01:29:31.679000,0 days 01:29:49.946000,0 days 01:30:25.707000,,300.0,289.0,294.0,False,HARD,6.0,True,Alpine,0 days 01:29:02.942000,2024-03-24 04:33:46.140,1,17.0,False,,False,True
659,0 days 01:31:48.458000,OCO,31,0 days 00:01:22.713000,23.0,3.0,,,0 days 00:00:28.865000,0 days 00:00:18.181000,0 days 00:00:35.667000,0 days 01:30:54.572000,0 days 01:31:12.753000,0 days 01:31:48.420000,273.0,299.0,289.0,292.0,False,HARD,7.0,True,Alpine,0 days 01:30:25.745000,2024-03-24 04:35:08.943,1,17.0,False,,False,True
660,0 days 01:33:11.217000,OCO,31,0 days 00:01:22.759000,24.0,3.0,,,0 days 00:00:28.786000,0 days 00:00:18.173000,0 days 00:00:35.800000,0 days 01:32:17.206000,0 days 01:32:35.379000,0 days 01:33:11.179000,276.0,301.0,289.0,293.0,False,HARD,8.0,True,Alpine,0 days 01:31:48.458000,2024-03-24 04:36:31.656,1,17.0,False,,False,True
661,0 days 01:34:34.014000,OCO,31,0 days 00:01:22.797000,25.0,3.0,,,0 days 00:00:28.949000,0 days 00:00:18.161000,0 days 00:00:35.687000,0 days 01:33:40.128000,0 days 01:33:58.289000,0 days 01:34:33.976000,274.0,298.0,290.0,292.0,False,HARD,9.0,True,Alpine,0 days 01:33:11.217000,2024-03-24 04:37:54.415,1,17.0,False,,False,True
662,0 days 01:35:56.906000,OCO,31,0 days 00:01:22.892000,26.0,3.0,,,0 days 00:00:28.887000,0 days 00:00:18.250000,0 days 00:00:35.755000,0 days 01:35:02.863000,0 days 01:35:21.113000,0 days 01:35:56.868000,273.0,298.0,290.0,293.0,False,HARD,10.0,True,Alpine,0 days 01:34:34.014000,2024-03-24 04:39:17.212,1,17.0,False,,False,True
663,0 days 01:37:19.807000,OCO,31,0 days 00:01:22.901000,27.0,3.0,,,0 days 00:00:28.822000,0 days 00:00:18.263000,0 days 00:00:35.816000,0 days 01:36:25.690000,0 days 01:36:43.953000,0 days 01:37:19.769000,272.0,299.0,289.0,,False,HARD,11.0,True,Alpine,0 days 01:35:56.906000,2024-03-24 04:40:40.104,1,17.0,False,,False,True
664,0 days 01:38:42.915000,OCO,31,0 days 00:01:23.108000,28.0,3.0,,,0 days 00:00:29.033000,0 days 00:00:18.242000,0 days 00:00:35.833000,0 days 01:37:48.802000,0 days 01:38:07.044000,0 days 01:38:42.877000,274.0,301.0,289.0,,False,HARD,12.0,True,Alpine,0 days 01:37:19.807000,2024-03-24 04:42:03.005,1,17.0,False,,False,True
